codice,tipo,nome,istituto,comune,provincia,indirizzo,telefono,email,email_utilizzabile,sito,alunni,distanza_km,minuti_auto
NAEE8FY05D,primaria statale,Rovigliano,IC Leopardi-Parini,Torre Annunziata,NA,"Via Mortelleto 81, 80058 Torre Annunziata (NA)",081 8611384,naic8fy007@istruzione.it,sì,https://www.comprensivoleopardiparinirovigliano.edu.it,153,8.1,14
NAEE8FY02A,primaria statale,Via Murat,IC Leopardi-Parini,Torre Annunziata,NA,"Via Murat, 80058 Torre Annunziata (NA)",081 8612464,naic8fy007@istruzione.it,sì,https://www.comprensivoleopardiparinirovigliano.edu.it,93,8.1,14
NAAA8G801P,infanzia statale,Tagliamonte,IC Pascoli-Siani,Torre Annunziata,NA,"Via Tagliamonte, 80058 Torre Annunziata (NA)",081 5358280,naic8g800t@istruzione.it,sì,https://www.icpascolisianitorreannunziata.edu.it,170,8.1,14
NAEE8G801X,primaria statale,Siani,IC Pascoli-Siani,Torre Annunziata,NA,"Via Tagliamonte, 80058 Torre Annunziata (NA)",081 8611360,naic8g800t@istruzione.it,sì,https://www.icpascolisianitorreannunziata.edu.it,380,8.1,14
NA1A144002,infanzia paritaria,Centro Comunicazione Espressione,,Torre Annunziata,NA,"Via L. Iacono 8, 80058 Torre Annunziata (NA)",081 8613174,centrocomunicazionee@libero.it,sì,,31,8.1,14
NA1AIN500A,infanzia paritaria,Le Magiche Fiabe,,Torre Annunziata,NA,"Via E. Ercioli 153, 80058 Torre Annunziata (NA)",081 4617560,connysangiovanni@gmail.com,no: indirizzo personale,https://www.lemagichefiabe.it,10,8.1,14
NA1A576001,infanzia paritaria,Primavera di Bimbi,,Torre Annunziata,NA,"Via Avallone 7, 80058 Torre Annunziata (NA)",081 0489137,castiant1@virgilio.it,sì,,17,8.1,14
NAAA8B701T,infanzia statale,Buonconsiglio,IC Forzati-De Curtis,Sant'Antonio Abate,NA,"Via Buonconsiglio, 80057 Sant'Antonio Abate (NA)",081 8738074,naic8b7001@istruzione.it,sì,https://www.icforzati.edu.it,159,8.3,14
NAEE8B7013,primaria statale,Buonconsiglio,IC Forzati-De Curtis,Sant'Antonio Abate,NA,"Via Buonconsiglio 35, 80057 Sant'Antonio Abate (NA)",081 8738074,naic8b7001@istruzione.it,sì,https://www.icforzati.edu.it,288,8.3,14
NAEE8B7035,primaria statale,Capoluogo De Curtis,IC Forzati-De Curtis,Sant'Antonio Abate,NA,"Via Dante Alighieri 22, 80057 Sant'Antonio Abate (NA)",081 8796121,naic8b7001@istruzione.it,sì,https://www.icforzati.edu.it,178,8.3,14
NAAA85304D,infanzia statale,Capoluogo De Curtis,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Dante Alighieri, 80057 Sant'Antonio Abate (NA)",081 8796121,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,58,8.3,14
NAAA85301A,infanzia statale,Casa D'Auria,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Casa D'Auria, 80057 Sant'Antonio Abate (NA)",081 8735657,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,136,8.3,14
NAAA85302B,infanzia statale,Pontone,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Santa Maria la Carita, 80057 Sant'Antonio Abate (NA)",081 8744039,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,37,8.3,14
NAAA85303C,infanzia statale,Salette,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Salette 18, 80057 Sant'Antonio Abate (NA)",081 8736278,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,68,8.3,14
NAEE85304P,primaria statale,Capoluogo De Curtis,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Dante Alighieri 22, 80057 Sant'Antonio Abate (NA)",081 8796121,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,179,8.3,14
NAEE85303N,primaria statale,Cesano,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Dante Alighieri 22, 80057 Sant'Antonio Abate (NA)",081 8796121,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,29,8.3,14
NAEE85301G,primaria statale,Pontone,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Santa Maria la Carità, 80057 Sant'Antonio Abate (NA)",081 8744039,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,77,8.3,14
NAEE85302L,primaria statale,Salette,IC Mascolo-De Curtis,Sant'Antonio Abate,NA,"Via Salette 18, 80057 Sant'Antonio Abate (NA)",081 8736278,naic85300d@istruzione.it,sì,https://www.scuolamascolo.edu.it,144,8.3,14
NA1AQP500V,infanzia paritaria,La Polesana,,Sant'Antonio Abate,NA,"Via Dante Alighieri 62, 80057 Sant'Antonio Abate (NA)",0848 796011,scuolapolesana@libero.it,sì,,38,8.3,14
NA1AC65008,infanzia paritaria,La Sirenetta,,Sant'Antonio Abate,NA,"Via Roma 554, 80057 Sant'Antonio Abate (NA)",081 8744151,admin183291@lasirenetta.191.it,no: dominio che non riceve posta,,3,8.3,14
NA1A136003,infanzia paritaria,Mosè Mascolo,,Sant'Antonio Abate,NA,"Via Casa D'Aurian.46, 80057 Sant'Antonio Abate (NA)",081 8738096,sgscuolamosemascolo@gmail.com,sì,,20,8.3,14
NA1E23700N,primaria paritaria,Mosè Mascolo,,Sant'Antonio Abate,NA,"Via Casa D'Auria 40, 80057 Sant'Antonio Abate (NA)",081 8738096,sgscuolamosemascolo@gmail.com,sì,,47,8.3,14
NAAA8GF024,infanzia statale,D'Angiò,IC D'Angiò-Via Vesuvio,Trecase,NA,"Via C. Cattaneo 35, 80040 Trecase (NA)",081 8622853,naic8gf006@istruzione.it,sì,https://www.istitutocomprensivotrecase.edu.it,45,8.3,15
NAAA8GF013,infanzia statale,Via Vesuvio,IC D'Angiò-Via Vesuvio,Trecase,NA,"Via Vesuvio, 80040 Trecase (NA)",081 8615354,naic8gf006@istruzione.it,sì,https://www.istitutocomprensivotrecase.edu.it,172,8.3,15
NAEE8GF029,primaria statale,Via 4 Marzo,IC D'Angiò-Via Vesuvio,Trecase,NA,"Via Sesto Staibano, 80040 Trecase (NA)",081 5365148,naic8gf006@istruzione.it,sì,https://www.istitutocomprensivotrecase.edu.it,147,8.3,15
NAEE8GF018,primaria statale,Via Vesuvio,IC D'Angiò-Via Vesuvio,Trecase,NA,"Via Vesuvio, 80040 Trecase (NA)",081 5369654,naic8gf006@istruzione.it,sì,https://www.istitutocomprensivotrecase.edu.it,360,8.3,15
NA1A59500A,infanzia paritaria,Anni Verdi,,Trecase,NA,"Via Sesto Staibano 129, 80040 Trecase (NA)",081 8622340,scuola.anniverdi@libero.it,sì,,34,8.3,15
NA1A56900T,infanzia paritaria,Mondo Creativo,,Trecase,NA,"Via Bosco del Monaco 49, 80040 Trecase (NA)",081 5369189,marianna.sansone@virgilio.it,no: indirizzo personale,,28,8.3,15
NA1A504003,infanzia paritaria,Salvatore Bello,,Trecase,NA,"Via Capitano Giuseppe Rea 82, 80040 Trecase (NA)",081 8621244,ann.2001@libero.it,no: indirizzo personale,,21,8.3,15
NA1E214001,primaria paritaria,Salvatore Bello,,Trecase,NA,"Via Capitano Rea 139, 80040 Trecase (NA)",081 8621244,istparitarios.bello@libero.it,sì,,75,8.3,15
NAAA21916A,infanzia statale,Cappella dei Bisi,Circolo Didattico Eduardo De Filippo,Santa Maria la Carità,NA,"Via Cappella dei Bisi 171, 80050 Santa Maria la Carità (NA)",081 8741440,naee21900t@istruzione.it,sì,https://www.circolodidatticoeduardodefilippo.edu.it,64,8.6,16
NAAA219115,infanzia statale,Edificio Arancio,Circolo Didattico Eduardo De Filippo,Santa Maria la Carità,NA,"Via Scafati 4, 80050 Santa Maria la Carità (NA)",081 8741506,naee21900t@istruzione.it,sì,https://www.circolodidatticoeduardodefilippo.edu.it,181,8.6,16
NAAA219159,infanzia statale,Edificio Azzurro,Circolo Didattico Eduardo De Filippo,Santa Maria la Carità,NA,"Via Scafati 4 /Bis, 80050 Santa Maria la Carità (NA)",081 8741506,naee21900t@istruzione.it,sì,https://www.circolodidatticoeduardodefilippo.edu.it,87,8.6,16
NAEE21901V,primaria statale,Capoluogo,Circolo Didattico Eduardo De Filippo,Santa Maria la Carità,NA,"Via Scafati 4, 80050 Santa Maria la Carità (NA)",081 8741506,naee21900t@istruzione.it,sì,https://www.circolodidatticoeduardodefilippo.edu.it,587,8.6,16
NAEE21902X,primaria statale,Cappella dei Bisi,Circolo Didattico Eduardo De Filippo,Santa Maria la Carità,NA,"Via Cappella dei Bisi 171, 80050 Santa Maria la Carità (NA)",081 8741440,naee21900t@istruzione.it,sì,https://www.circolodidatticoeduardodefilippo.edu.it,102,8.6,16
NAAA8B6012,infanzia statale,Via Lattaro,IC Ernesto Borrelli,Santa Maria la Carità,NA,"Via Lattaro 16, 80050 Santa Maria la Carità (NA)",081 4247532,naic8b6005@istruzione.it,sì,https://www.icborrelli.edu.it,80,8.6,16
NAEE8B6017,primaria statale,Via Lattaro,IC Ernesto Borrelli,Santa Maria la Carità,NA,"Via Lattaro 16, 80050 Santa Maria la Carità (NA)",081 4247532,naic8b6005@istruzione.it,sì,https://www.icborrelli.edu.it,142,8.6,16
NA1ARO500E,infanzia paritaria,Accademia degli Scugnizzi,,Santa Maria la Carità,NA,"Via Bardascini 18, 80050 Santa Maria la Carità (NA)",081 8743988,info@accademiadegliscugnizzi.it,sì,https://accademiadegliscugnizzi.it,52,8.6,16
NA1A74200G,infanzia paritaria,Le Simpatiche Canaglie,,Santa Maria la Carità,NA,"Via Canneto II 16, 80050 Santa Maria la Carità (NA)",081 19818517,lesimpatichecanaglie2020@gmail.com,sì,,34,8.6,16
NA1A67700N,infanzia paritaria,New Solletico,,Santa Maria la Carità,NA,"Via Motta Carità 116, 80050 Santa Maria la Carità (NA)",081 8703883,gargiulocarmela@virgilio.it,no: indirizzo personale,,37,8.6,16
SAAA10201T,infanzia statale,Carducci,1° Circolo Didattico,Pagani,SA,"Via Giuseppe Mazzini, 84016 Pagani (SA)",081 914305,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,82,8.7,14
SAAA10202V,infanzia statale,Corso Ettore Padovano,1° Circolo Didattico,Pagani,SA,"Corso E. Padovano, 84016 Pagani (SA)",081 916000,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,66,8.7,14
SAAA102041,infanzia statale,Via Repubblica,1° Circolo Didattico,Pagani,SA,"Piazza Sant'Alfonso, 84016 Pagani (SA)",081 5153013,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,118,8.7,14
SAEE102035,primaria statale,Alessandro Manzoni,1° Circolo Didattico,Pagani,SA,"Corso E. Padovano, 84016 Pagani (SA)",081 916000,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,141,8.7,14
SAEE102046,primaria statale,Carducci,1° Circolo Didattico,Pagani,SA,"Via Giuseppe Mazzini, 84016 Pagani (SA)",081 914305,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,115,8.7,14
SAEE102024,primaria statale,Gianni Rodari,1° Circolo Didattico,Pagani,SA,"Piazza Sant'Alfonso, 84016 Pagani (SA)",081 5153013,saee102002@istruzione.it,sì,https://www.primocircolopagani.edu.it,256,8.7,14
SAAA8CB01Q,infanzia statale,Barbazzano,IC Criscuolo,Pagani,SA,"Via Sant'Erasmo, 84016 Pagani (SA)",081 915523,saic8cb00v@istruzione.it,sì,https://www.scuolacriscuolopagani.edu.it,36,8.7,14
SAAA8CB03T,infanzia statale,Collodi,IC Criscuolo,Pagani,SA,"Via Filettine, 84016 Pagani (SA)",081 5152641,saic8cb00v@istruzione.it,sì,https://www.scuolacriscuolopagani.edu.it,68,8.7,14
SAAA8CB04V,infanzia statale,Forteco,IC Criscuolo,Pagani,SA,"Via Sant'Erasmo, 84016 Pagani (SA)",081 910166,saic8cb00v@istruzione.it,sì,https://www.scuolacriscuolopagani.edu.it,35,8.7,14
SAEE8CB011,primaria statale,Barbazzano,IC Criscuolo,Pagani,SA,"Via Barbazzano, 84016 Pagani (SA)",081 915523,saic8cb00v@istruzione.it,sì,https://www.scuolacriscuolopagani.edu.it,163,8.7,14
SAEE8CB033,primaria statale,Collodi,IC Criscuolo,Pagani,SA,"Via Filettine 200, 84016 Pagani (SA)",081 5152641,saic8cb00v@istruzione.it,sì,https://www.scuolacriscuolopagani.edu.it,211,8.7,14
SAAA8A5045,infanzia statale,Flaucinola,IC Sant'Alfonso de' Liguori,Pagani,SA,"Via Flaucinola, 84016 Pagani (SA)",081 910230,saic8a5005@istruzione.it,sì,https://www.icsantalfonsopagani.edu.it,25,8.7,14
SAAA8A5023,infanzia statale,Via A. Califano,IC Sant'Alfonso de' Liguori,Pagani,SA,"Via A. Califano, 84016 Pagani (SA)",0081 916838,saic8a5005@istruzione.it,sì,https://www.icsantalfonsopagani.edu.it,125,8.7,14
SAEE8A5039,primaria statale,Don Milani,IC Sant'Alfonso de' Liguori,Pagani,SA,"Via A. Califano, 84016 Pagani (SA)",081 916838,saic8a5005@istruzione.it,sì,https://www.icsantalfonsopagani.edu.it,305,8.7,14
SAEE8A505B,primaria statale,Flaucinola,IC Sant'Alfonso de' Liguori,Pagani,SA,"Via Flaucinola, 84016 Pagani (SA)",081 910230,saic8a5005@istruzione.it,sì,https://www.icsantalfonsopagani.edu.it,53,8.7,14
SA1A161006,infanzia paritaria,Baby Club,,Pagani,SA,"Via C. Tramontano 77, 84016 Pagani (SA)",081 5154813,darco.raffaella@libero.it,no: indirizzo personale,,36,8.7,14
SA1ATL5004,infanzia paritaria,Hello Spank,,Pagani,SA,"Via Alcide De Gasperi 251, 84016 Pagani (SA)",081 18897183,hellospanksas@libero.it,sì,,34,8.7,14
SA1A00100N,infanzia paritaria,Il Carminello,,Pagani,SA,"Via Matteotti 39, 84016 Pagani (SA)",081 19917159,gruppocataleya@libero.it,sì,,43,8.7,14
SA1A12100Q,infanzia paritaria,Immacolata,,Pagani,SA,"Via Cesarano 75, 84016 Pagani (SA)",081 917435,direzione@paritariaimmacolata.it,sì,,67,8.7,14
SA1A0B500A,infanzia paritaria,Mulan,,Pagani,SA,"Via Sant'Erasmo 34/36, 84016 Pagani (SA)",081 18406969,coop.mulan@libero.it,sì,,30,8.7,14
SA1ASU500N,infanzia paritaria,Oasi Boom,,Pagani,SA,"Via Caduti di Superga 21, 84016 Pagani (SA)",081 0585880,francescoboomanimation@gmail.com,sì,,38,8.7,14
SA1A12800E,infanzia paritaria,Preziosissimo Sangue,,Pagani,SA,"Via San Francesco 107, 84016 Pagani (SA)",081 916240,scuolapps@libero.it,sì,,21,8.7,14
SA1E004003,primaria paritaria,Immacolata,,Pagani,SA,"Via A. Cesarano 75, 84016 Pagani (SA)",081 917435,direzione@paritariaimmacolata.it,sì,https://www.paritariaimmacolata.it,112,8.7,14
SA1E02300C,primaria paritaria,Preziosissimo Sangue,,Pagani,SA,"Via San Francesco 107, 84016 Pagani (SA)",081 919845,scuolapps@libero.it,sì,,58,8.7,14
SAAA8BA019,infanzia statale,Capoluogo,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via Pulcinella, 84010 Sant'Egidio del Monte Albino (SA)",081 5153166,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,46,8.9,15
SAAA8BA02A,infanzia statale,Orta Loreto,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via Mazzini, 84010 Sant'Egidio del Monte Albino (SA)",081 5152560,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,93,8.9,15
SAAA8BA03B,infanzia statale,San Lorenzo,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via Coscioni 1, 84010 Sant'Egidio del Monte Albino (SA)",081 5151060,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,33,8.9,15
SAEE8BA01E,primaria statale,Capoluogo,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via G. Leopardi 1, 84010 Sant'Egidio del Monte Albino (SA)",081 5152203,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,102,8.9,15
SAEE8BA02G,primaria statale,Orta Loreto,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via G. Mazzini, 84010 Sant'Egidio del Monte Albino (SA)",081 5152277,saic8ba00c@istruzione.it,sì,,262,8.9,15
SAEE8BA03L,primaria statale,San Lorenzo,IC Eduardo De Filippo,Sant'Egidio del Monte Albino,SA,"Via Coscioni 1, 84010 Sant'Egidio del Monte Albino (SA)",081 5151060,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,108,8.9,15
SA1AOE500Z,infanzia paritaria,La Casa di Topolino,,Sant'Egidio del Monte Albino,SA,"Via M. Buonarroti 60, 84010 Sant'Egidio del Monte Albino (SA)",081 19176890,lacasadi_topolino@libero.it,sì,,15,8.9,15
SA1A18000G,infanzia paritaria,Piccoli Amici,,Sant'Egidio del Monte Albino,SA,"Via Kennedy 65, 84010 Sant'Egidio del Monte Albino (SA)",081 919560,piccoliamici08@libero.it,sì,,9,8.9,15
NAAA8CQ03A,infanzia statale,De Curtis,IC 1 De Curtis,Carbonara di Nola,NA,"Via Rainone, 80030 Carbonara di Nola (NA)",081 8253014,naic8cq00b@istruzione.it,sì,https://www.icdecurtisprimopalma.edu.it,45,9.4,20
NAEE8CQ03G,primaria statale,De Curtis,IC 1 De Curtis,Carbonara di Nola,NA,"Via Rainone, 80036 Carbonara di Nola (NA)",081 8253014,naic8cq00b@istruzione.it,sì,https://www.icdecurtisprimopalma.edu.it,78,9.4,20
SAAA8BA04C,infanzia statale,Capoluogo,IC Eduardo De Filippo,Corbara,SA,"Via Tenente Lignola, 84010 Corbara (SA)",081 913040,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,70,9.6,16
SAEE8BA04N,primaria statale,Capoluogo,IC Eduardo De Filippo,Corbara,SA,"Via T. Lignola, 84010 Corbara (SA)",081 913040,saic8ba00c@istruzione.it,sì,http://www.icedefilippo.edu.it,119,9.6,16
AVAA84605L,infanzia statale,Capoluogo,Omnicomprensivo Croce-Nobile-Amundsen,Domicella,AV,"Via Diaz, 83020 Domicella (AV)",081 8253627,avic84600g@istruzione.it,sì,https://www.icbenedettocrocelauro.edu.it,46,10.3,21
AVEE84606V,primaria statale,Papa Giovanni XXIII,Omnicomprensivo Croce-Nobile-Amundsen,Domicella,AV,"Via G. Anisio, 83020 Domicella (AV)",081 8253627,avic84600g@istruzione.it,sì,https://www.icbenedettocrocelauro.edu.it,66,10.3,21
NAAA8AS017,infanzia statale,Capoluogo,IC Pellico-Iozzino,Lettere,NA,"Corso Vittorio Emanuele 56, 80050 Lettere (NA)",081 5399015,naic8as00a@istruzione.it,sì,https://www.icpellicoiozzino.edu.it,31,10.3,23
NAAA8AS028,infanzia statale,Orsano Sant'Anna,IC Pellico-Iozzino,Lettere,NA,"Via Nuova Orsano 7, 80050 Lettere (NA)",081 8021259,naic8as00a@istruzione.it,sì,https://www.icpellicoiozzino.edu.it,38,10.3,23
NAAA8AS04A,infanzia statale,San Lorenzo,IC Pellico-Iozzino,Lettere,NA,"Via San Lorenzo 9, 80050 Lettere (NA)",081 5399019,naic8as00a@istruzione.it,sì,https://www.icpellicoiozzino.edu.it,46,10.3,23
NAEE8AS01C,primaria statale,Longobardi,IC Pellico-Iozzino,Lettere,NA,"Corso Vittorio Emanuele 56, 80050 Lettere (NA)",081 5399015,naic8as00a@istruzione.it,sì,https://www.icpellicoiozzino.edu.it,147,10.3,23
NAEE8AS02D,primaria statale,Orsano,IC Pellico-Iozzino,Lettere,NA,"Via Nuova Orsano 5, 80050 Lettere (NA)",081 5399023,naic8as00a@istruzione.it,sì,https://www.icpellicoiozzino.edu.it,67,10.3,23
SAAA8BS026,infanzia statale,M. F. De Fusco Longo,IC 1 Solimena,Nocera Inferiore,SA,"Via Origlia, 84014 Nocera Inferiore (SA)",081 3085523,saic8bs008@istruzione.it,sì,https://www.primoicnocerainferiore.it,32,10.9,17
SAAA8BS015,infanzia statale,Via F. Nola,IC 1 Solimena,Nocera Inferiore,SA,"Via F. Nola 3, 84014 Nocera Inferiore (SA)",081 5176356,saic8bs008@istruzione.it,sì,https://www.primoicnocerainferiore.it,80,10.9,17
SAEE8BS01A,primaria statale,Via F. Nola,IC 1 Solimena,Nocera Inferiore,SA,"Via F. Nola 1, 84014 Nocera Inferiore (SA)",081 5176356,saic8bs008@istruzione.it,sì,https://www.primoicnocerainferiore.it,225,10.9,17
SAAA8BT011,infanzia statale,Capocasale,IC 2,Nocera Inferiore,SA,"Via A. Gramsci 21, 84014 Nocera Inferiore (SA)",081 926717,saic8bt004@istruzione.it,sì,https://www.comprensivo2nocera.edu.it,61,10.9,17
SAEE8BT027,primaria statale,Capocasale,IC 2,Nocera Inferiore,SA,"Via A. Gramsci 21, 84014 Nocera Inferiore (SA)",081 926717,saic8bt004@istruzione.it,sì,https://www.comprensivo2nocera.edu.it,183,10.9,17
SAEE8BT016,primaria statale,Via Fava,IC 2,Nocera Inferiore,SA,"Via Martinez Y Cabrera, 84014 Nocera Inferiore (SA)",081 9211176,saic8bt004@istruzione.it,sì,https://www.comprensivo2nocera.edu.it,117,10.9,17
SAAA8BU01R,infanzia statale,Rione Cicalesi,IC 3 Massimo Li Pira,Nocera Inferiore,SA,"Via Pietraccioli, 84014 Nocera Inferiore (SA)",081 925530,saic8bu00x@istruzione.it,sì,https://www.terzocomprensivonocera.edu.it,106,10.9,17
SAAA8BU02T,infanzia statale,Santa Chiara,IC 3 Massimo Li Pira,Nocera Inferiore,SA,"Via Crocifisso, 84014 Nocera Inferiore (SA)",081 5176035,saic8bu00x@istruzione.it,sì,https://www.terzocomprensivonocera.edu.it,68,10.9,17
SAEE8BU012,primaria statale,Cicalesi,IC 3 Massimo Li Pira,Nocera Inferiore,SA,"Via Crocifisso, 84014 Nocera Inferiore (SA)",081 923785,saic8bu00x@istruzione.it,sì,https://www.terzocomprensivonocera.edu.it,336,10.9,17
SAEE8BU023,primaria statale,Santa Chiara,IC 3 Massimo Li Pira,Nocera Inferiore,SA,"Via Crocifisso, 84014 Nocera Inferiore (SA)",081 5176035,saic8bu00x@istruzione.it,sì,https://www.terzocomprensivonocera.edu.it,220,10.9,17
SAAA8BV01L,infanzia statale,Casolla,IC 4 Ilaria Alpi,Nocera Inferiore,SA,"Via Malinconico 3, 84014 Nocera Inferiore (SA)",342 669 5387,saic8bv00q@istruzione.it,sì,https://www.quartoicilariaalpinocerainferiore.edu.it,151,10.9,17
SAAA8BV02N,infanzia statale,Montevescovado,IC 4 Ilaria Alpi,Nocera Inferiore,SA,"Via P. De Concilis 15, 84014 Nocera Inferiore (SA)",345 076 3043,saic8bv00q@istruzione.it,sì,https://www.quartoicilariaalpinocerainferiore.edu.it,31,10.9,17
SAEE8BV01T,primaria statale,Casolla Marrazzo,IC 4 Ilaria Alpi,Nocera Inferiore,SA,"Via Malinconico, 84014 Nocera Inferiore (SA)",349 261 9223,saic8bv00q@istruzione.it,sì,https://www.quartoicilariaalpinocerainferiore.edu.it,314,10.9,17
SAEE8BV03X,primaria statale,Madre Teresa di Calcutta,IC 4 Ilaria Alpi,Nocera Inferiore,SA,"Via De Concilis 15, 84014 Nocera Inferiore (SA)",349 230 9824,saic8bv00q@istruzione.it,sì,https://www.quartoicilariaalpinocerainferiore.edu.it,60,10.9,17
SAEE8BV02V,primaria statale,Vescovado,IC 4 Ilaria Alpi,Nocera Inferiore,SA,"Via Vescovado, 84014 Nocera Inferiore (SA)",081 924302,saic8bv00q@istruzione.it,sì,https://www.quartoicilariaalpinocerainferiore.edu.it,80,10.9,17
SAAA8BR01X,infanzia statale,Piedimonte Chivoli,IC 5,Nocera Inferiore,SA,"Via Urbulana 32, 84014 Nocera Inferiore (SA)",081 5177921,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,39,10.9,17
SAAA8BR032,infanzia statale,San Mauro Centro,IC 5,Nocera Inferiore,SA,"Via San Mauro, 84014 Nocera Inferiore (SA)",081 926887,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,39,10.9,17
SAAA8BR043,infanzia statale,Via Marconi,IC 5,Nocera Inferiore,SA,84014 Nocera Inferiore (SA),081 5179424,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,66,10.9,17
SAAA8BR054,infanzia statale,Via Sant'Anna,IC 5,Nocera Inferiore,SA,"Via Sant'Anna, 84014 Nocera Inferiore (SA)",081 5173155,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,54,10.9,17
SAEE8BR015,primaria statale,Piedimonte Chivoli,IC 5,Nocera Inferiore,SA,"Via Urbulana 116, 84014 Nocera Inferiore (SA)",081 5177921,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,78,10.9,17
SAEE8BR037,primaria statale,San Mauro,IC 5,Nocera Inferiore,SA,"San Mauro, 84014 Nocera Inferiore (SA)",081 924454,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,137,10.9,17
SAEE8BR048,primaria statale,Via Marconi,IC 5,Nocera Inferiore,SA,"Via Marconi, 84014 Nocera Inferiore (SA)",081 5179424,saic8br003@istruzione.it,sì,https://www.quintocomprensivonocerainferiore.it,127,10.9,17
SA1A167005,infanzia paritaria,Biancaneve,,Nocera Inferiore,SA,"Via R. Silvestri 29, 84014 Nocera Inferiore (SA)",081 918605,biancanevescuola@libero.it,sì,,9,10.9,17
SA1A15000Q,infanzia paritaria,Disney Club,,Nocera Inferiore,SA,"S. D'Alessandro 9, 84014 Nocera Inferiore (SA)",081 5174605,disneyclub@email.it,sì,,66,10.9,17
SA1A18400V,infanzia paritaria,Il Tartarughino,,Nocera Inferiore,SA,"Via Origlia 1, 84014 Nocera Inferiore (SA)",081 5170172,oliva_valentina@live.it,no: indirizzo personale,,47,10.9,17
SA1A12900A,infanzia paritaria,Il Volo delle Colombe,,Nocera Inferiore,SA,"Via Domenico Rea 6, 84014 Nocera Inferiore (SA)",081 926822,ilvolodellecolombe@gmail.com,sì,,27,10.9,17
SA1A2H500H,infanzia paritaria,L'Abbraccio,,Nocera Inferiore,SA,"Via Castaldo 4, 84014 Nocera Inferiore (SA)",081 8433819,info@scuolalabbraccio.it,sì,,13,10.9,17
SA1ATZ5008,infanzia paritaria,L'Ape Gaia,,Nocera Inferiore,SA,"Via T.L. Caro 10, 84014 Nocera Inferiore (SA)",081 9211179,asilonidoapegaia@hotmail.it,sì,https://www.lapegaia.com,19,10.9,17
SA1ADM500M,infanzia paritaria,L'Arcobaleno,,Nocera Inferiore,SA,"Via R. Grimaldi 30/2, 84014 Nocera Inferiore (SA)",5179300,annabruno0212@live.it,no: indirizzo personale,,23,10.9,17
SA1A196005,infanzia paritaria,La Bottega di Mastro Ciliegia,,Nocera Inferiore,SA,"Via Atzori 116, 84014 Nocera Inferiore (SA)",081 5175922,b.mastro.ciliegia@gmail.com,sì,,20,10.9,17
SA1A141001,infanzia paritaria,La Gioia dei Bimbi,,Nocera Inferiore,SA,"Via Astuti Parco di Luggo 105/13, 84014 Nocera Inferiore (SA)",081 924240,lagioiadeibimbi_1@libero.it,sì,,30,10.9,17
SA1A170001,infanzia paritaria,Mazz' e Panell,,Nocera Inferiore,SA,"Corso Vittorio Emanuele II 121, 84014 Nocera Inferiore (SA)",081 5179595,minamanzo@inwind.it,no: indirizzo personale,https://www.mazzepanell.com,56,10.9,17
SA1AZB500U,infanzia paritaria,Primi Passi,,Nocera Inferiore,SA,"Piazzetta Pagliara 2, 84014 Nocera Inferiore (SA)",328 729 8623,tortoratilde2@gmail.com,no: indirizzo personale,,11,10.9,17
